ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-12 20:56:19,rank_1d,rank_1k,B,B+R,230,164.1,40,7.5,g00108_rank_1d_vs_rank_1k.sgf,,0
2026-09-12 20:58:15,preaz_10k,preaz_15k,B,B+R,146,69.6,40,7.5,g00109_preaz_10k_vs_preaz_15k.sgf,,0
2026-09-12 20:59:03,rank_1k,rank_5k,B,B+R,146,66.6,40,7.5,g00110_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 20:59:24,rank_3d,rank_5d,W,W+R,145,93.7,40,7.5,g00111_rank_3d_vs_rank_5d.sgf,,0
2026-09-12 21:00:10,rank_3d,rank_5d,B,B+23.5,312,163.3,40,7.5,g00112_rank_3d_vs_rank_5d.sgf,,0
2026-09-12 21:00:58,preaz_10k,preaz_15k,B,B+15.5,330,216.6,40,7.5,g00113_preaz_10k_vs_preaz_15k.sgf,,0
2026-09-12 21:02:53,rank_1k,rank_1d,W,W+R,171,119.1,40,7.5,g00114_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 21:04:52,preaz_1k,rank_1k,B,B+R,164,136.9,40,7.5,g00116_preaz_1k_vs_rank_1k.sgf,,0
2026-09-12 21:04:35,rank_1k,rank_1d,W,W+22.5,227,187.9,40,7.5,g00115_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 21:07:09,preaz_1k,rank_1k,B,B+R,252,177.6,40,7.5,g00117_preaz_1k_vs_rank_1k.sgf,,0
2026-09-12 21:07:43,rank_5d,rank_3d,B,B+21.5,306,291.1,40,7.5,g00118_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 21:10:07,preaz_15k,preaz_20k,W,W+4.5,327,291.6,40,7.5,g00119_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 21:12:34,rank_1k,rank_1d,B,B+R,146,157.2,40,7.5,g00120_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 21:15:11,rank_1d,rank_5k,B,B+R,146,177.0,40,7.5,g00122_rank_1d_vs_rank_5k.sgf,,0
2026-09-12 21:14:59,rank_1k,preaz_1k,B,B+R,246,323.4,40,7.5,g00121_rank_1k_vs_preaz_1k.sgf,,0
2026-09-12 21:18:08,preaz_5k,preaz_1k,W,W+R,145,211.9,40,7.5,g00123_preaz_5k_vs_preaz_1k.sgf,,0
2026-09-12 21:20:22,rank_5d,rank_3d,B,B+15.5,316,282.4,40,7.5,g00124_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 21:21:40,rank_1k,rank_1d,W,W+12.5,323,331.9,40,7.5,g00125_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 21:25:04,preaz_5k,preaz_10k,B,B+R,190,260.1,40,7.5,g00126_preaz_5k_vs_preaz_10k.sgf,,0
2026-09-12 21:27:12,preaz_10k,preaz_5k,W,W+R,221,275.6,40,7.5,g00127_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 21:29:24,rank_1k,rank_1d,W,W+R,145,155.6,40,7.5,g00128_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 21:31:47,preaz_15k,preaz_5k,W,W+R,165,111.8,40,7.5,g00129_preaz_15k_vs_preaz_5k.sgf,,0
2026-09-12 21:32:00,preaz_15k,preaz_5k,W,W+R,145,128.8,40,7.5,g00130_preaz_15k_vs_preaz_5k.sgf,,0
2026-09-12 21:33:39,preaz_15k,preaz_10k,W,W+R,145,79.4,40,7.5,g00131_preaz_15k_vs_preaz_10k.sgf,,0
2026-09-13 14:12:16,preaz_10k,preaz_5k,B,B+R,152,144.8,40,0.5,g00000_preaz_10k_vs_preaz_5k.sgf,,5
2026-09-13 14:12:16,preaz_10k,preaz_5k,B,B+R,198,165.2,40,0.5,g00001_preaz_10k_vs_preaz_5k.sgf,,5
